datetime	open	high	low	close	volume
07.08.2007 00:00	101.59	102.5	99.98	100.65	25686260
08.08.2007 00:00	101.69	102.91	101.65	102.58	33687910
09.08.2007 00:00	103.57	103.89	98.77	99.08	50632560
10.08.2007 00:00	97.6	97.99	94.31	95.55	73831380
13.08.2007 00:00	96.68	97.8	95.55	97.44	38498700
14.08.2007 00:00	96.2	97.37	96.0	96.87	19560280
15.08.2007 00:00	95.07	95.28	93.23	94.45	29370440
16.08.2007 00:00	92.5	92.55	89.52	90.56	65443810
17.08.2007 00:00	90.51	95.18	88.31	94.81	110926450
20.08.2007 00:00	95.25	96.44	93.1	93.84	41541530
21.08.2007 00:00	94.35	94.4	89.6	90.91	65782080
22.08.2007 00:00	91.57	93.8	90.55	93.54	43932750
23.08.2007 00:00	94.89	96.08	93.51	94.15	61299120
24.08.2007 00:00	93.3	94.3	92.26	93.6	36066130
27.08.2007 00:00	95.19	95.6	94.0	95.2	36756340
28.08.2007 00:00	94.9	95.08	93.71	94.49	28495790
29.08.2007 00:00	92.15	94.4	92.01	93.76	34123230
30.08.2007 00:00	95.0	96.0	94.21	94.43	37770840
31.08.2007 00:00	95.5	97.73	95.05	97.43	47178850
03.09.2007 00:00	97.8	98.97	97.12	98.24	34359860
04.09.2007 00:00	97.99	98.25	96.75	97.18	23584550
05.09.2007 00:00	97.51	97.8	94.9	95.25	33637330
06.09.2007 00:00	95.04	97.1	95.04	96.73	36591090
07.09.2007 00:00	96.5	96.6	93.4	93.8	39220170
10.09.2007 00:00	93.8	94.89	93.2	94.41	28743060
11.09.2007 00:00	94.77	94.96	94.16	94.81	12315460
12.09.2007 00:00	95.18	95.44	93.65	94.02	20299130
13.09.2007 00:00	94.73	96.6	94.11	96.28	26802380
14.09.2007 00:00	96.5	96.85	95.65	96.02	30271900
17.09.2007 00:00	96.01	96.19	94.6	94.87	22013420
18.09.2007 00:00	94.6	98.06	94.5	97.65	37470460
19.09.2007 00:00	99.9	103.8	99.8	103.39	119839390
20.09.2007 00:00	103.01	103.29	100.85	102.6	65159210
21.09.2007 00:00	101.54	102.7	101.52	101.86	46159880
24.09.2007 00:00	102.0	103.55	101.5	101.96	46799070
25.09.2007 00:00	101.3	101.39	98.45	98.72	43550290
26.09.2007 00:00	100.0	100.95	99.42	100.68	40172690
27.09.2007 00:00	101.81	102.35	100.71	102.07	52751780
28.09.2007 00:00	102.18	103.69	101.5	103.48	40677440
01.10.2007 00:00	102.8	102.88	100.2	100.87	36133330
02.10.2007 00:00	102.68	105.1	102.55	104.9	67372710
03.10.2007 00:00	104.51	105.8	102.85	103.15	76226290
04.10.2007 00:00	102.81	103.51	100.23	100.77	95390560
05.10.2007 00:00	101.74	102.91	101.05	102.19	60845570
08.10.2007 00:00	103.0	105.19	102.6	103.97	67202150
09.10.2007 00:00	103.57	106.15	103.01	105.73	57990880
10.10.2007 00:00	106.54	106.89	104.61	105.62	57917650
11.10.2007 00:00	106.03	107.8	105.8	107.55	82261540
12.10.2007 00:00	106.14	108.85	105.52	108.69	59678530
15.10.2007 00:00	109.12	110.38	108.5	110.05	51264070
16.10.2007 00:00	109.0	109.8	107.66	109.13	54934310
17.10.2007 00:00	108.46	108.98	107.6	108.38	39268210
18.10.2007 00:00	108.55	109.27	106.0	106.76	38999330
19.10.2007 00:00	106.2	108.35	105.99	107.61	38823390
22.10.2007 00:00	105.01	106.29	104.35	105.46	55190300
23.10.2007 00:00	106.94	107.55	106.51	106.71	36590800
24.10.2007 00:00	106.26	106.94	105.35	105.77	42236480
25.10.2007 00:00	106.3	108.18	106.01	106.93	57603120
26.10.2007 00:00	107.6	108.53	106.8	107.93	48609800
29.10.2007 00:00	108.5	108.93	106.41	106.7	60840310
30.10.2007 00:00	106.45	106.5	103.63	104.56	117972370
31.10.2007 00:00	105.4	106.88	104.72	106.27	58405560
01.11.2007 00:00	107.51	107.78	105.11	105.92	78386860
05.11.2007 00:00	104.5	106.2	104.0	105.87	61442120
06.11.2007 00:00	105.3	107.2	105.0	106.75	37346390
07.11.2007 00:00	106.9	107.4	105.55	107.04	44531880
08.11.2007 00:00	105.3	107.7	104.92	106.94	43788780
09.11.2007 00:00	106.6	107.5	105.02	105.25	34402490
12.11.2007 00:00	104.5	106.22	104.41	105.73	31045780
13.11.2007 00:00	105.93	106.25	104.8	105.09	34403600
14.11.2007 00:00	106.2	106.5	104.73	105.42	50181640
15.11.2007 00:00	105.1	105.49	104.76	105.15	20507300
16.11.2007 00:00	104.8	104.98	103.2	103.68	37260960
19.11.2007 00:00	103.66	104.25	102.0	102.56	25078840
20.11.2007 00:00	102.3	103.14	101.1	101.63	33982930
21.11.2007 00:00	101.5	101.5	98.85	99.38	49899990
22.11.2007 00:00	99.01	100.37	96.94	97.33	67837110
23.11.2007 00:00	98.0	99.27	96.8	98.49	54542400
26.11.2007 00:00	100.5	102.39	100.06	101.04	79987260
27.11.2007 00:00	100.77	101.75	98.78	99.79	52717850
28.11.2007 00:00	100.5	101.7	99.31	101.19	46443470
29.11.2007 00:00	102.5	104.0	102.06	102.46	62139050
30.11.2007 00:00	102.95	104.25	102.69	103.89	48949530
03.12.2007 00:00	103.9	104.58	103.05	103.98	36088680
04.12.2007 00:00	104.0	104.09	102.5	102.97	36266340
05.12.2007 00:00	103.21	104.39	102.96	103.97	47975360
06.12.2007 00:00	104.85	105.4	103.6	103.91	63132560
07.12.2007 00:00	104.8	105.58	104.55	104.89	46921510
10.12.2007 00:00	104.7	107.75	104.01	107.22	78996380
11.12.2007 00:00	107.57	109.51	107.57	108.3	84664050
12.12.2007 00:00	106.7	108.45	106.57	108.12	64954770
13.12.2007 00:00	107.5	107.5	105.25	105.87	62633720
14.12.2007 00:00	106.0	106.54	103.44	104.34	42937000
17.12.2007 00:00	103.6	104.65	102.17	103.83	46569910
18.12.2007 00:00	103.2	105.5	103.2	105.18	34675880
19.12.2007 00:00	105.5	106.4	104.01	105.4	37200670
20.12.2007 00:00	106.09	106.49	104.6	105.75	37644180
21.12.2007 00:00	106.5	106.93	105.54	105.76	38255540
24.12.2007 00:00	106.5	106.79	105.02	105.44	25144950
25.12.2007 00:00	106.19	106.19	103.0	104.04	19663120
26.12.2007 00:00	103.29	104.39	102.76	103.8	22135080
27.12.2007 00:00	103.66	104.0	102.8	103.58	21406390
08.01.2008 00:00	103.25	103.65	101.83	102.3	18102370
09.01.2008 00:00	101.98	103.7	100.72	101.25	32144450
10.01.2008 00:00	102.23	103.81	101.53	103.48	39813230
11.01.2008 00:00	103.54	105.45	102.86	104.82	32837600
14.01.2008 00:00	104.41	105.3	104.2	104.92	20744110
15.01.2008 00:00	105.35	106.6	104.8	105.69	51445210
16.01.2008 00:00	104.2	104.5	100.02	101.48	65607630
17.01.2008 00:00	102.2	102.8	99.25	101.34	74363210
18.01.2008 00:00	100.5	100.75	97.35	99.23	74547280
21.01.2008 00:00	97.0	97.12	90.18	91.57	80769880
22.01.2008 00:00	86.4	99.4	75.01	92.81	113473970
23.01.2008 00:00	96.0	96.89	88.65	89.91	76371930
24.01.2008 00:00	94.63	96.85	92.82	95.45	93757950
25.01.2008 00:00	98.0	98.75	93.75	95.1	98543850
28.01.2008 00:00	91.0	92.98	89.3	90.32	66824710
29.01.2008 00:00	91.86	94.74	90.6	93.41	73951740
30.01.2008 00:00	93.61	93.61	90.92	91.57	55691870
31.01.2008 00:00	91.6	91.99	87.08	87.98	75801650
01.02.2008 00:00	90.88	92.49	88.25	89.39	88648530
04.02.2008 00:00	92.5	92.9	90.0	90.85	47218810
05.02.2008 00:00	90.0	92.0	86.25	87.14	82283840
06.02.2008 00:00	84.0	88.65	83.33	87.87	73604510
07.02.2008 00:00	88.0	88.64	82.25	84.51	86346420
08.02.2008 00:00	86.0	86.8	82.17	83.44	85649640
11.02.2008 00:00	83.93	84.7	82.05	83.59	57778850
12.02.2008 00:00	84.01	86.12	83.22	85.67	101165440
13.02.2008 00:00	85.01	86.1	83.5	85.36	90124440
14.02.2008 00:00	87.0	87.83	85.0	86.45	96961770
